category,category_url,article_name,article_url,parent_category,idioma,article_name_es
Bolvir,https://es.wikipedia.org/wiki/Categor%C3%ADa:Bolvir,Bolvir,https://es.wikipedia.org/wiki/Bolvir,,es,Bolvir
Bolvir,https://es.wikipedia.org/wiki/Categor%C3%ADa:Bolvir,Signario de Bolvir,https://es.wikipedia.org/wiki/Signario_de_Bolvir,,es,Signario de Bolvir
Bolvir,https://es.wikipedia.org/wiki/Categor%C3%ADa:Bolvir,Talltorta,https://es.wikipedia.org/wiki/Talltorta,,es,Talltorta
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Aeródromo de La Cerdaña,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_La_Cerda%C3%B1a,,es,Aeródromo de La Cerdaña
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Casa del Común de Das,https://es.wikipedia.org/wiki/Casa_del_Com%C3%BAn_de_Das,,es,Casa del Común de Das
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Das,https://es.wikipedia.org/wiki/Das,,es,Das
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Iglesia de San Julián (Tartera),https://es.wikipedia.org/wiki/Iglesia_de_San_Juli%C3%A1n_(Tartera),,es,Iglesia de San Julián (Tartera)
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Iglesia de San Lorenzo (Das),https://es.wikipedia.org/wiki/Iglesia_de_San_Lorenzo_(Das),,es,Iglesia de San Lorenzo (Das)
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Iglesia de Santa María (Mosoll),https://es.wikipedia.org/wiki/Iglesia_de_Santa_Mar%C3%ADa_(Mosoll),,es,Iglesia de Santa María (Mosoll)
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Mosoll,https://es.wikipedia.org/wiki/Mosoll,,es,Mosul
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Sanavastre,https://es.wikipedia.org/wiki/Sanavastre,,es,Sanavastro
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Tartera (España),https://es.wikipedia.org/wiki/Tartera_(Espa%C3%B1a),,es,Canchal (España)
Fontanáls de Cerdanya,https://es.wikipedia.org/wiki/Categor%C3%ADa:Fontan%C3%A1ls_de_Cerdanya,Aeródromo de La Cerdaña,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_La_Cerda%C3%B1a,,es,Aeródromo de La Cerdaña
Fontanáls de Cerdanya,https://es.wikipedia.org/wiki/Categor%C3%ADa:Fontan%C3%A1ls_de_Cerdanya,El Vilar (Gerona),https://es.wikipedia.org/wiki/El_Vilar_(Gerona),,es,El Vilar (Gerona)
Fontanáls de Cerdanya,https://es.wikipedia.org/wiki/Categor%C3%ADa:Fontan%C3%A1ls_de_Cerdanya,Escadarcs,https://es.wikipedia.org/wiki/Escadarcs,,es,Escadarcs
Fontanáls de Cerdanya,https://es.wikipedia.org/wiki/Categor%C3%ADa:Fontan%C3%A1ls_de_Cerdanya,Estoll,https://es.wikipedia.org/wiki/Estoll,,es,Estoll
Fontanáls de Cerdanya,https://es.wikipedia.org/wiki/Categor%C3%ADa:Fontan%C3%A1ls_de_Cerdanya,Fontanáls de Cerdanya,https://es.wikipedia.org/wiki/Fontan%C3%A1ls_de_Cerdanya,,es,Fontanáls de Cerdanya
Fontanáls de Cerdanya,https://es.wikipedia.org/wiki/Categor%C3%ADa:Fontan%C3%A1ls_de_Cerdanya,Queixans,https://es.wikipedia.org/wiki/Queixans,,es,Quejanos
Fontanáls de Cerdanya,https://es.wikipedia.org/wiki/Categor%C3%ADa:Fontan%C3%A1ls_de_Cerdanya,Soriguerola,https://es.wikipedia.org/wiki/Soriguerola,,es,Soriguerola
Ger (Gerona),https://es.wikipedia.org/wiki/Categor%C3%ADa:Ger_(Gerona),Ger (Gerona),https://es.wikipedia.org/wiki/Ger_(Gerona),,es,Ger (Gerona)
Ger (Gerona),https://es.wikipedia.org/wiki/Categor%C3%ADa:Ger_(Gerona),Gréixer,https://es.wikipedia.org/wiki/Gr%C3%A9ixer,,es,Crecer
Ger (Gerona),https://es.wikipedia.org/wiki/Categor%C3%ADa:Ger_(Gerona),Iglesia de San Clemente (Gréixer),https://es.wikipedia.org/wiki/Iglesia_de_San_Clemente_(Gr%C3%A9ixer),,es,Iglesia de San Clemente (Crecer)
Ger (Gerona),https://es.wikipedia.org/wiki/Categor%C3%ADa:Ger_(Gerona),Iglesia de Santa Colomba (Ger),https://es.wikipedia.org/wiki/Iglesia_de_Santa_Colomba_(Ger),,es,Iglesia de Santa Colomba (Ger)
Ger (Gerona),https://es.wikipedia.org/wiki/Categor%C3%ADa:Ger_(Gerona),Iglesia de Santa Eugenia (Saga),https://es.wikipedia.org/wiki/Iglesia_de_Santa_Eugenia_(Saga),,es,Iglesia de Santa Eugenia (Saga)
Ger (Gerona),https://es.wikipedia.org/wiki/Categor%C3%ADa:Ger_(Gerona),Saga (España),https://es.wikipedia.org/wiki/Saga_(Espa%C3%B1a),,es,Saga (España)
Guils de Cerdaña,https://es.wikipedia.org/wiki/Categor%C3%ADa:Guils_de_Cerda%C3%B1a,Guils de Cerdaña,https://es.wikipedia.org/wiki/Guils_de_Cerda%C3%B1a,,es,Guilos de Cerdaña
Guils de Cerdaña,https://es.wikipedia.org/wiki/Categor%C3%ADa:Guils_de_Cerda%C3%B1a,Guils Fontanera,https://es.wikipedia.org/wiki/Guils_Fontanera,,es,Guils Fontanera
Guils de Cerdaña,https://es.wikipedia.org/wiki/Categor%C3%ADa:Guils_de_Cerda%C3%B1a,Iglesia de San Esteban (Guils de Cerdaña),https://es.wikipedia.org/wiki/Iglesia_de_San_Esteban_(Guils_de_Cerda%C3%B1a),,es,Iglesia de San Esteban (Guiles de Cerdaña)
Isóbol,https://es.wikipedia.org/wiki/Categor%C3%ADa:Is%C3%B3bol,All (Isóbol),https://es.wikipedia.org/wiki/All_(Is%C3%B3bol),,es,Ajo (Isóbol)
Isóbol,https://es.wikipedia.org/wiki/Categor%C3%ADa:Is%C3%B3bol,Iglesia de San Pedro (Olopte),https://es.wikipedia.org/wiki/Iglesia_de_San_Pedro_(Olopte),,es,Iglesia de San Pedro (Olopto)
Isóbol,https://es.wikipedia.org/wiki/Categor%C3%ADa:Is%C3%B3bol,Iglesia de Santa María (All),https://es.wikipedia.org/wiki/Iglesia_de_Santa_Mar%C3%ADa_(All),,es,Iglesia de Santa María (All)
Isóbol,https://es.wikipedia.org/wiki/Categor%C3%ADa:Is%C3%B3bol,Isóbol,https://es.wikipedia.org/wiki/Is%C3%B3bol,,es,Isóbolo
Isóbol,https://es.wikipedia.org/wiki/Categor%C3%ADa:Is%C3%B3bol,Olopte,https://es.wikipedia.org/wiki/Olopte,,es,Olopto
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Aransa,https://es.wikipedia.org/wiki/Aransa,,es,Aransa
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Coborriu de la Llosa,https://es.wikipedia.org/wiki/Coborriu_de_la_Llosa,,es,Coborriu de la Llosa
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Iglesia de San Fructuoso (Músser),https://es.wikipedia.org/wiki/Iglesia_de_San_Fructuoso_(M%C3%BAsser),,es,Iglesia de San Fructuoso (Músser)
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Iglesia de San Martín (Aransa),https://es.wikipedia.org/wiki/Iglesia_de_San_Mart%C3%ADn_(Aransa),,es,Iglesia de San Martín (Aransa)
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Lles,https://es.wikipedia.org/wiki/Lles,,es,Lles
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Mussa (España),https://es.wikipedia.org/wiki/Mussa_(Espa%C3%B1a),,es,Mussa (España)
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Travesseres,https://es.wikipedia.org/wiki/Travesseres,,es,Traveseras
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Viliella,https://es.wikipedia.org/wiki/Viliella,,es,Viliella
Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Llivia,Llivia,https://es.wikipedia.org/wiki/Llivia,,es,Livia
Arquitectura de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Arquitectura_de_Llivia,Castillo de Llivia,https://es.wikipedia.org/wiki/Castillo_de_Llivia,Llivia,es,Castillo de Llívia
Arquitectura de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Arquitectura_de_Llivia,Farmacia Esteve de Llivia,https://es.wikipedia.org/wiki/Farmacia_Esteve_de_Llivia,Llivia,es,Farmacia Esteve de Llivia
Arquitectura de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Arquitectura_de_Llivia,Iglesia de Nuestra Señora de los Ángeles (Llivia),https://es.wikipedia.org/wiki/Iglesia_de_Nuestra_Se%C3%B1ora_de_los_%C3%81ngeles_(Llivia),Llivia,es,Iglesia de Nuestra Señora de los Ángeles (Livia)
Arquitectura de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Arquitectura_de_Llivia,Museo Municipal de Llivia,https://es.wikipedia.org/wiki/Museo_Municipal_de_Llivia,Llivia,es,Museo Municipal de Llívia
Historia de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Historia_de_Llivia,Guerra de los stops,https://es.wikipedia.org/wiki/Guerra_de_los_stops,Llivia,es,Guerra de los stops
Historia de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Historia_de_Llivia,Tratado de Llivia,https://es.wikipedia.org/wiki/Tratado_de_Llivia,Llivia,es,Tratado de Llivia
Nacidos en Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Nacidos_en_Llivia,Francisco Fabra,https://es.wikipedia.org/wiki/Francisco_Fabra,Llivia,es,Francisco Fabra
Nacidos en Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Nacidos_en_Llivia,Antonio Roca,https://es.wikipedia.org/wiki/Antonio_Roca,Llivia,es,Antonio Roca
Nacidos en Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Nacidos_en_Llivia,Josep Solé Barberà,https://es.wikipedia.org/wiki/Josep_Sol%C3%A9_Barber%C3%A0,Llivia,es,Josep Solé Barberà
Pedanías de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Pedan%C3%ADas_de_Llivia,Cereja,https://es.wikipedia.org/wiki/Cereja,Llivia,es,Cerea
Pedanías de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Pedan%C3%ADas_de_Llivia,Gorguja,https://es.wikipedia.org/wiki/Gorguja,Llivia,es,Gorguja
Maranges,https://es.wikipedia.org/wiki/Categor%C3%ADa:Maranges,Girul,https://es.wikipedia.org/wiki/Girul,,es,Girul
Maranges,https://es.wikipedia.org/wiki/Categor%C3%ADa:Maranges,Iglesia de San Saturnino (Maranges),https://es.wikipedia.org/wiki/Iglesia_de_San_Saturnino_(Maranges),,es,Iglesia de San Saturnino (Maranges)
Maranges,https://es.wikipedia.org/wiki/Categor%C3%ADa:Maranges,Maranges,https://es.wikipedia.org/wiki/Maranges,,es,Maranges
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Béixec,https://es.wikipedia.org/wiki/B%C3%A9ixec,,es,Becillo
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Capiscol (Lérida),https://es.wikipedia.org/wiki/Capiscol_(L%C3%A9rida),,es,Capiscol (Lérida)
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Estana,https://es.wikipedia.org/wiki/Estana,,es,Estana
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Iglesia de San Ginés (Montellá Martinet),https://es.wikipedia.org/wiki/Iglesia_de_San_Gin%C3%A9s_(Montell%C3%A1_Martinet),,es,Iglesia de San Ginés (Montellá Martinet)
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Iglesia de San Martín (Vilech),https://es.wikipedia.org/wiki/Iglesia_de_San_Mart%C3%ADn_(Vilech),,es,Iglesia de San Martín (Vilech)
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Martinet (Lérida),https://es.wikipedia.org/wiki/Martinet_(L%C3%A9rida),,es,Martinet (Lérida)
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Montellà,https://es.wikipedia.org/wiki/Montell%C3%A0,,es,Montellà
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Montellá Martinet,https://es.wikipedia.org/wiki/Montell%C3%A1_Martinet,,es,Montellá Martinet
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Santuario de Santa María de Bastanist,https://es.wikipedia.org/wiki/Santuario_de_Santa_Mar%C3%ADa_de_Bastanist,,es,Santuario de Santa María de Bastanist
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Víllec,https://es.wikipedia.org/wiki/V%C3%ADllec,,es,Vílogo
Prulláns,https://es.wikipedia.org/wiki/Categor%C3%ADa:Prull%C3%A1ns,Ardòvol,https://es.wikipedia.org/wiki/Ard%C3%B2vol,,es,Ardóvol
Prulláns,https://es.wikipedia.org/wiki/Categor%C3%ADa:Prull%C3%A1ns,Iglesia de San Esteban (Prullans),https://es.wikipedia.org/wiki/Iglesia_de_San_Esteban_(Prullans),,es,Iglesia de San Esteban (Prullans)
Prulláns,https://es.wikipedia.org/wiki/Categor%C3%ADa:Prull%C3%A1ns,Prulláns,https://es.wikipedia.org/wiki/Prull%C3%A1ns,,es,Prullanos
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Puigcerdá,https://es.wikipedia.org/wiki/Puigcerd%C3%A1,,es,Puigcerdá
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Age (Gerona),https://es.wikipedia.org/wiki/Age_(Gerona),,es,Age (Gerona)
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Convento de San Domingo (Puigcerdá),https://es.wikipedia.org/wiki/Convento_de_San_Domingo_(Puigcerd%C3%A1),,es,Convento de San Domingo (Puigcerdá)
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Hospital de Puigcerdá,https://es.wikipedia.org/wiki/Hospital_de_Puigcerd%C3%A1,,es,Hospital de Puigcerdá
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Hospital transfronterizo de la Cerdaña,https://es.wikipedia.org/wiki/Hospital_transfronterizo_de_la_Cerda%C3%B1a,,es,Hospital transfronterizo de la Cerdaña
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Iglesia de Santa María de Puigcerdá,https://es.wikipedia.org/wiki/Iglesia_de_Santa_Mar%C3%ADa_de_Puigcerd%C3%A1,,es,Iglesia de Santa María de Puigcerdá
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Iglesia de Santo Tomás (Ventajola),https://es.wikipedia.org/wiki/Iglesia_de_Santo_Tom%C3%A1s_(Ventajola),,es,Iglesia de Santo Tomás (Ventajola)
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Lago de Puigcerdá,https://es.wikipedia.org/wiki/Lago_de_Puigcerd%C3%A1,,es,Lago de Puigcerdá
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Partido judicial de Puigcerdá,https://es.wikipedia.org/wiki/Partido_judicial_de_Puigcerd%C3%A1,,es,Partido judicial de Puigcerdá
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Rigolisa,https://es.wikipedia.org/wiki/Rigolisa,,es,Rigolisa
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Ventajola,https://es.wikipedia.org/wiki/Ventajola,,es,Ventajola
