Centre de Souscription;FILIAL;Gestion;Unité Souscr.;Unité Gestion;CODIGO DE FACULTATIVO;ESTADO;Gestion.;Souscr.;EJERCICIO;FECHA DE EFECTO;Date ouverture du chantier;FECHA DE INICIO COBERTURA;FECHA VENCIMIENTO;ASEGURADO;Risque ;Produit;ToP;Secteur;TIPO DE RIESGO;COMPAÑÍA CEDENTE;Pays Cédante;Groupe intermediaire;Intermédiaire;Div.;TIPO DE CONTRATO;N° ligne;SUMAS ASEGURADAS;Portée;Priorité / Franchise;TASA DE PRIMA;Aliment 100 Pc. (global) (?v);Part acceptée;PARTE SCOR;Aliment SCOR;Sommes assurées SCOR;Mt Limite SCOR;ECG;Devise ECG;Marché;Pays d'analyse;Trigger
Paris;SCOR REASS.;Specialties;Decennale Madrid;xxxxxxx;02G0Y0438;Résilié;CGG;FFH ;1981-1;1/1/81;;;31/12/81; ;REPRISE (NE PAS MODIFIER);RC Construction;PUC;SPECIALITES;Indus. buildings;AGF SEGUROS;ESPAGNE;;;1;QP;ns;0;0;0;0;0;0;0;0;0;0;1;FRF;Espagne;ESPAGNE;Surv. P. Normale
Paris;SCOR REASS.;Specialties;Decennale Madrid;xxxxxxx;02G0Y0525;Résilié;CGG;FFH ;1981-1;1/1/81;;;31/12/81; ;REPRISE (NE PAS MODIFIER);RC Construction;PUC;SPECIALITES;Indus. buildings;ESTRELLA SEGUROS;ESPAGNE;;;1;QP;ns;0;0;0;0;0;0;0;0;0;0;1;FRF;Espagne;ESPAGNE;Surv. P. Normale
Paris;SCOR REASS.;Specialties;Decennale Madrid;xxxxxxx;02G0Y0650;Résilié;CGG;FFH ;1981-1;1/1/81;;;31/12/81; ;REPRISE (NE PAS MODIFIER);RC Construction;PUC;SPECIALITES;Indus. buildings;AGF SEGUROS;ESPAGNE;;;1;QP;ns;0;0;0;0;0;0;0;0;0;0;1;FRF;Espagne;ESPAGNE;Surv. P. Normale
Paris;SCOR REASS.;Specialties;Decennale Madrid;Decennale Madrid;02G0G4028;Expiré;RCS;FFH ;1981-1;1/2/81;1/6/81;17/3/83;18/3/93;Heron Diagonal 1;HERON  1;RC Construction;Globale Chantier;SPECIALITES;Office buildings;AGF SEGUROS;ESPAGNE;;;1;QP;ns;3.377.688;3377688;0;14,679;49584;100;100;49584;3377688;3377688;53000000;FRF;Espagne;ESPAGNE;Surv. P. Normale
Paris;SCOR REASS.;Specialties;Decennale Madrid;Decennale Madrid;02G0G4489;Expiré;RCS;FFH ;1981-1;19/11/81;19/11/81;18/11/83;19/11/93;Sgbc   Societe Generale De Banque;SOCIETE GENERALE DE BANQUE;RC Construction;RC Decennale Etr;SPECIALITES;Comm. buildings;AGF SEGUROS;ESPAGNE;;;1;QP;ns;3.606.073;3606073;0;11,731;42305;100;100;42305;3606073;3606073;26500000;FRF;Espagne;ESPAGNE;Surv. P. Normale
Paris;SCOR REASS.;Specialties;Decennale Madrid;Decennale Madrid;02G0YN043;Expiré;RCS;FFH ;1987-1;3/8/87;3/8/87;10/5/88;11/5/98;Promotora Arbolancha;PROMOTORA ARBOLANCHA;RC Construction;RC Decennale Etr;SPECIALITES;Comm. buildings;AGF SEGUROS;ESPAGNE;;;1;QP;ns;419.907;419907;12020;10,099;4241;78,53;78,53;3330;329753;329753;2677477;FRF;Espagne;ESPAGNE;Surv. P. Normale
Paris;SCOR REASS.;Specialties;Decennale;xxxxxxx;02G0YQ229;Expiré;RCS;TJ  ;1988-1;1/10/88;1/10/88;14/3/91;14/3/91;Teia Promociones 3b;TEIA PROMOCIONES 3B;RC Construction;Globale Chantier;SPECIALITES; Apartments;ALLIANZ;ESPAGNE;;;1;QP;ns;779.825;779825;0;9,371;757;90;90;682;701843;701843;2890226;FRF;Espagne;ESPAGNE;Surv. P. Normale
Paris;SCOR REASS.;Specialties;Decennale;xxxxxxx;02G0YQ822;Expiré;RCS;TJ  ;1988-1;23/5/88;23/5/88;14/10/91;15/10/01;Kepro;EDIFICIOS DE VIVIENDAS LOCALES COMERCIALES Y GARAJES;RC Construction;RC Decennale Etr;SPECIALITES; Apartments;AGF UNION FENIX;ESPAGNE;;;1;QP;ns;5.806.775;5806775;3005;8;46454;48,4;48,4;22484;2810479;2810479;23147623;FRF;Espagne;ESPAGNE;Surv. P. Normale
Paris;SCOR REASS.;Specialties;Decennale Madrid;Decennale Madrid;02G0YP233;Expiré;RCS;FFH ;1989-1;31/1/89;31/1/89;31/1/89;31/1/99;Pan European Espana;PAN EUROPEAN ESPANA;RC Construction;RC Decennale Etr;SPECIALITES;Comm. buildings;AGF UNION FENIX;ESPAGNE;;;1;QP;ns;4.207.085;4207085;12020;11,22;43968;96,8;96,8;42561;4072458;4072458;15901509;FRF;Espagne;ESPAGNE;Surv. P. Normale
Paris;SCOR REASS.;Specialties;Decennale Madrid;Decennale Madrid;02G0YP007;Expiré;CGG;FFH ;1989-1;13/11/89;13/11/89;13/11/89;12/3/99;Pan European Espana Sa;PAN EUROPEAN ESPANA SA;RC Construction;Globale Chantier;SPECIALITES;Comm. buildings;AGF UNION FENIX;ESPAGNE;;;1;QP;ns;1.075.211;1075211;15025;12,499;11507;80,35;80,35;9246;863932;863932;2211866;FRF;Espagne;ESPAGNE;Surv. P. Normale
